	<yagoTheme__infoboxPatterns>	<hasGloss>	"This file is part of the ontology YAGO3. It is licensed under a Creative-Commons Attribution License by the YAGO team at the Max Planck Institute for Informatics/Germany. See http://yago-knowledge.org for all details. This file was generated on 2017-10-11 T 19:57:40.0208. The Wikipedia infobox patterns used in YAGO INTERNAL"	
	<infobox/en/birthdate>	<_infoboxPattern>	<wasBornOnDate>	
	<infobox/en/dateofbirth>	<_infoboxPattern>	<wasBornOnDate>	
	<infobox/en/born>	<_infoboxPattern>	<wasBornOnDate>	
	<infobox/en/deathdate>	<_infoboxPattern>	<diedOnDate>	
	<infobox/en/dateofdeath>	<_infoboxPattern>	<diedOnDate>	
	<infobox/en/birthplace>	<_infoboxPattern>	<wasBornIn>	
	<infobox/en/deathplace>	<_infoboxPattern>	<diedIn>	
	<infobox/en/died>	<_infoboxPattern>	<diedOnDate>	
	<infobox/en/spouse>	<_infoboxPattern>	<isMarriedTo>	
	<infobox/en/children>	<_infoboxPattern>	<hasChild>	
	<infobox/en/daughter>	<_infoboxPattern>	<hasChild>	
	<infobox/en/daughters>	<_infoboxPattern>	<hasChild>	
	<infobox/en/occupation>	<_infoboxPattern>	rdf:type	
	<infobox/en/profession>	<_infoboxPattern>	rdf:type	
	<infobox/en/politicalparty>	<_infoboxPattern>	<isAffiliatedTo>	
	<infobox/en/party>	<_infoboxPattern>	<isAffiliatedTo>	
	<infobox/en/maininterests>	<_infoboxPattern>	<isInterestedIn>	
	<infobox/en/notableideas>	<_infoboxPattern>	<isKnownFor>	
	<infobox/en/contributions>	<_infoboxPattern>	<isKnownFor>	
	<infobox/en/awards>	<_infoboxPattern>	<hasWonPrize>	
	<infobox/en/notableworks>	<_infoboxPattern>	<created>	
	<infobox/en/workinstitutions>	<_infoboxPattern>	<worksAt>	
	<infobox/en/workplaces>	<_infoboxPattern>	<worksAt>	
	<infobox/en/doctoraladvisor>	<_infoboxPattern>	<hasAcademicAdvisor>	
	<infobox/en/doctoralstudents>	<_infoboxPattern>	<hasAcademicAdvisor->	
	<infobox/en/parents>	<_infoboxPattern>	<hasChild->	
	<infobox/en/father>	<_infoboxPattern>	<hasChild->	
	<infobox/en/mother>	<_infoboxPattern>	<hasChild->	
	<infobox/en/influences>	<_infoboxPattern>	<influences->	
	<infobox/en/influencedby>	<_infoboxPattern>	<influences->	
	<infobox/en/influenced>	<_infoboxPattern>	<influences>	
	<infobox/en/almamater>	<_infoboxPattern>	<graduatedFrom>	
	<infobox/en/height>	<_infoboxPattern>	<hasHeight>	
	<infobox/en/weight>	<_infoboxPattern>	<hasWeight>	
	<infobox/en/website>	<_infoboxPattern>	<hasWebsite>	
